Source,Target,Weight
YouTuber,De Paul,1
YouTuber,Enzo Fernandez,1
YouTuber,Mac Allister,1
YouTuber,Julian Alvarez,1
YouTuber,theo hernandez,1
YouTuber,JULIAN ALVAREZ,2
YouTuber,GALLEGO,1
YouTuber,BOBO,1
YouTuber,VAR,2
YouTuber,DANI OLMO,1
YouTuber,ASENSIO,1
YouTuber,FERRAN TORRES,2
YouTuber,GAVI,1
YouTuber,CARLOS SOLER,1
YouTuber,Amine,4
YouTuber,Cacho Perxita,1
YouTuber,Karchez,1
YouTuber,Viruzz,1
YouTuber,Ander Telmo Pumuscor,1
YouTuber,Mostopapi,2
YouTuber,Papi Gavi Folagor,1
YouTuber,Koko DC Delantero09,1
YouTuber,Alexby,2
YouTuber,Alex Silvestre,19
YouTuber,Pereira Rubius,1
YouTuber,Xokas,1
YouTuber,Miguel Angel Roman,1
YouTuber,Axel Martinez,1
YouTuber,mostopapi,2
YouTuber,NICOLAS MARADONA,1
YouTuber,albertitomaroto,1
YouTuber,Luis Enrique,68
YouTuber,Benzema,670
YouTuber,Khabane Lame,1
YouTuber,KhabyLame,1
YouTuber,ferran torres,20
YouTuber,rodrygo,1
YouTuber,LAUTARO MARTINEZ,1
YouTuber,lewandowski,607
YouTuber,DJ MARIO,1
YouTuber,Ronaldo Nazario ICONO,1
YouTuber,DjMariiO,1
YouTuber,Pedri Gonzalez,1
YouTuber,djmariio2023,1
YouTuber,Cristiano Ronaldo,179
YouTuber,Mbappe,2
YouTuber,BETA,1
YouTuber,XAVI,2
YouTuber,HECTOR BELLERIN,1
YouTuber,MARCOS ALONSO,1
YouTuber,Casemiro,2
YouTuber,Robert Lewandowski,1
YouTuber,RIBERY,1
YouTuber,Sergio,331
YouTuber,Carola Paracetamor,1
YouTuber,Arigameplays Lolito,1
YouTuber,Luzu Viruzz,1
YouTuber,Momo David Bustamante,1
YouTuber,ALEX SILVESTRE,2
YouTuber,JUANFE,1
YouTuber,FOLAGOR,1
YouTuber,DjMaRiiOHD,8
YouTuber,Tchouameni,1
YouTuber,mbappe,159
YouTuber,djmario,1
YouTuber,Kylian Mbappé,1
YouTuber,djmariioshop.com,4
YouTuber,PAULO LONDRA,1
YouTuber,PIQUE,1
YouTuber,MOUNT,1
YouTuber,RUDIGER,1
YouTuber,WERNER,1
YouTuber,DJMARIIO VINICIUS TOBIAS,1
YouTuber,CAFU,2
YouTuber,ROONEY,1
YouTuber,CANTONA,1
YouTuber,Aubameyang,2
YouTuber,Araujo,254
YouTuber,Ferran Torres,1
YouTuber,Santiago Bernabeu,1
YouTuber,VINICIUS BENZEMA,1
YouTuber,Rubius,60
YouTuber,sTaXx,1
YouTuber,DANI ALVES,1
YouTuber,FEKIR,1
YouTuber,FIRMINO,1
YouTuber,DYBALA,1
YouTuber,LUCAS,1
YouTuber,ACHRAF,1
YouTuber,KYLIAN MBAPPE,1
YouTuber,Donnarumma,1
YouTuber,Hakimi,1
YouTuber,Marquinhos,1
YouTuber,Kimpembe,1
YouTuber,Nuno Mendes,1
YouTuber,Paredes,2
YouTuber,Danilo Pereira,5
YouTuber,Verratti,1
YouTuber,Courtois,1
YouTuber,Carvajal,340
YouTuber,Miltao,1
YouTuber,Alaba,32
YouTuber,Mendy,1
YouTuber,Kroos,1
YouTuber,Modric,1
YouTuber,Asensio,1
YouTuber,Vinicius Jr,1
YouTuber,ICONO PRIME,1
YouTuber,DEMBELE,1
YouTuber,ADAMA,1
YouTuber,BRYAN GIL,1
YouTuber,CRISTIANO RONALDO TOTY,2
YouTuber,SALAH,1
YouTuber,CRISTIANO TOTY,1
YouTuber,De Bruyne,1
YouTuber,Jorginho TOTY,1
YouTuber,MBAPPE TOTY,1
YouTuber,MESSI TOTY,1
YouTuber,LEWANDOWSKI TOTY,1
YouTuber,VINICIUS JR,2
YouTuber,LUUK DE JONG,1
YouTuber,RUST,1
YouTuber,hot,1
YouTuber,PEKEKING,1
YouTuber,djmariiorealmadrid,1
YouTuber,Haaland,1
YouTuber,Neymar,860
YouTuber,XAVI DjMaRiiO,1
YouTuber,LUCAS VAZQUEZ,1
YouTuber,MOSTOLES DUX,1
YouTuber,CRISTIANO OTW,1
YouTuber,OYARZABAL,1
YouTuber,NEYMAR MESSI,1
YouTuber,Lewandowski,1
YouTuber,Muller,1
YouTuber,SIRO LOPEZ,1
YouTuber,PIEZAS,1
YouTuber,RUBEN MARTIN,1
YouTuber,EDUARDO CAMAVINGA,1
YouTuber,TORTILLALAND,1
YouTuber,RobertPG,1
YouTuber,Kolderiu,1
YouTuber,PUMUS,1
YouTuber,Bizarap,1
YouTuber,Nicky Jam,4
YouTuber,Biza,7
YouTuber,Diego,306
YouTuber,Nicky,3
YouTuber,Miky,1
YouTuber,Kiki,5
YouTuber,Tony Montana,1
YouTuber,Nicky-Nicky-Nicky Jam,1
YouTuber,Alvaro Benito,1
YouTuber,BorjaI Iglesias,1
YouTuber,Estopa,2
YouTuber,Eric García,15
YouTuber,Carlo Ancelotti,1
YouTuber,Zidane,87
YouTuber,Lucas Vázquez,34
YouTuber,Cucurella,1
YouTuber,Manu,25
YouTuber,ManuuGP,4
YouTuber,Timur Haisyn,1
YouTuber,Dani Olmo,1
YouTuber,Canales,1
YouTuber,Gayá,1
YouTuber,Jordi Alba,111
YouTuber,Pedri,71
YouTuber,Bryan Gil,1
YouTuber,Koke,1
YouTuber,Eric,43
YouTuber,xBuyer,1
YouTuber,Cacho01,1
YouTuber,ManuGP  NEYMAR,1
YouTuber,JOSE JUAN,1
YouTuber,JOSE JUAN DEL ALCOYANO,1
YouTuber,Fernando Alonso,94
YouTuber,Rafa Nadal,15
YouTuber,Xavi,171
YouTuber,Auronplay,2
YouTuber,Alecmolon,1
YouTuber,Kun Aguero,1
YouTuber,Sara Biyin,1
YouTuber,Reborn,1
YouTuber,BarbeQ,1
YouTuber,PS5,1
YouTuber,Pedrerol,1
YouTuber,Coman,1
YouTuber,DJENGLISH,1
YouTuber,Goku,41
YouTuber,Alex Fernandez Jimenez,4
YouTuber,Cris Rodriguez Moises,4
YouTuber,Tiago Contin,4
YouTuber,Arturo Soto,4
YouTuber,Lalo Gomez,4
YouTuber,Manuel Lopez Frijol,4
YouTuber,cesar herrera,4
YouTuber,Carlos Hernandez Chiva,4
YouTuber,Adrian Izquierdo soria,8
YouTuber,Rend Zhak Adrichu04,4
YouTuber,YT,3
YouTuber,Rafael Melo,4
YouTuber,Douglas Mendoza Trolex,4
YouTuber,Pep Guardiola,9
YouTuber,Ansu Fati,1
YouTuber,dilan gomez,4
YouTuber,Franco Figueroa,4
YouTuber,Angel Rodriguez Climent,4
YouTuber,Douglas Mendoza,4
YouTuber,Enrique Conesa,4
